"Date","Price","Open","High","Low","Vol.","Change %"
"05/21/2019","49.72","50.00","49.72","49.72","1.33M","-0.56%"
"05/20/2019","50.00","50.00","50.00","49.84","6.16M","0.00%"
"05/17/2019","50.00","50.00","50.00","50.00","3.35M","0.00%"
"05/16/2019","50.00","52.00","51.00","50.00","9.72M","-3.85%"
"05/15/2019","52.00","52.00","52.00","52.00","572.91K","0.00%"
"05/14/2019","52.00","52.00","52.00","52.00","1.57M","0.00%"
"05/13/2019","52.00","52.24","52.00","52.00","3.32M","-0.46%"
"05/10/2019","52.24","52.24","52.24","52.24","2.54M","0.00%"
"05/09/2019","52.24","52.40","52.24","52.24","2.85M","-0.31%"
"05/08/2019","52.40","52.80","52.40","52.00","7.57M","-0.76%"
"05/07/2019","52.80","52.84","52.88","52.80","4.17M","-0.08%"
"05/06/2019","52.84","52.84","52.84","52.84","420.78K","0.00%"
"05/03/2019","52.84","52.60","52.84","52.80","3.73M","0.46%"
"05/02/2019","52.60","52.00","52.60","52.40","3.32M","1.15%"
"04/30/2019","52.00","52.00","52.00","52.00","3.18M","0.00%"
"04/29/2019","52.00","51.72","52.00","52.00","3.65M","0.54%"
